Activity;Resource;Date;Time;Column 5;Column 6;Column 7;Decision Type
4_9-grouped-0;brouette;15.04.2019;17:15:10;4_9;grouped;0;propagated
10_19-grouped-0;brouette;15.04.2019;17:15:10;10_19;grouped;0;propagated
20_40-grouped-1;brouette;15.04.2019;17:15:10;20_40;grouped;1;manual
41_60-grouped-0;brouette;15.04.2019;17:15:10;41_60;grouped;0;propagated
More60-grouped-0;brouette;15.04.2019;17:15:10;More60;grouped;0;propagated
Male-grouped-1;brouette;15.04.2019;17:15:12;Male;grouped;1;manual
Female-grouped-0;brouette;15.04.2019;17:15:12;Female;grouped;0;propagated
SupportedHeight-optional-1;brouette;15.04.2019;17:15:14;SupportedHeight;optional;1;propagated
0-5_0-99-grouped-0;brouette;15.04.2019;17:15:14;0-5_0-99;grouped;0;propagated
1_1-29-grouped-0;brouette;15.04.2019;17:15:14;1_1-29;grouped;0;propagated
1-3_1-59-grouped-0;brouette;15.04.2019;17:15:14;1-3_1-59;grouped;0;propagated
1-6_1-99-grouped-1;brouette;15.04.2019;17:15:14;1-6_1-99;grouped;1;manual
More2-grouped-0;brouette;15.04.2019;17:15:14;More2;grouped;0;propagated
Dabster-grouped-1;brouette;15.04.2019;17:15:17;Dabster;grouped;1;manual
Professional-grouped-0;brouette;15.04.2019;17:15:17;Professional;grouped;0;propagated
Passionned-grouped-0;brouette;15.04.2019;17:15:17;Passionned;grouped;0;propagated
-500-grouped-0;brouette;15.04.2019;17:15:22;-500;grouped;0;propagated
501_999-grouped-1;brouette;15.04.2019;17:15:22;501_999;grouped;1;manual
1000_1999-grouped-0;brouette;15.04.2019;17:15:22;1000_1999;grouped;0;propagated
More2000-grouped-0;brouette;15.04.2019;17:15:22;More2000;grouped;0;propagated
SupportedWeight-optional-1;brouette;15.04.2019;17:15:34;SupportedWeight;optional;1;propagated
Less14-grouped-0;brouette;15.04.2019;17:15:34;Less14;grouped;0;propagated
15_30-grouped-0;brouette;15.04.2019;17:15:34;15_30;grouped;0;propagated
31_60-grouped-0;brouette;15.04.2019;17:15:34;31_60;grouped;0;propagated
61_90-grouped-1;brouette;15.04.2019;17:15:34;61_90;grouped;1;manual
91_120-grouped-0;brouette;15.04.2019;17:15:34;91_120;grouped;0;propagated
More121-grouped-0;brouette;15.04.2019;17:15:34;More121;grouped;0;propagated
Work-grouped-1;brouette;15.04.2019;17:15:40;Work;grouped;1;manual
Urban-grouped-0;brouette;15.04.2019;17:15:40;Urban;grouped;0;propagated
Racing-grouped-0;brouette;15.04.2019;17:15:40;Racing;grouped;0;propagated
Mountain-grouped-0;brouette;15.04.2019;17:15:40;Mountain;grouped;0;propagated
24inch-grouped-1;brouette;15.04.2019;17:15:46;24inch;grouped;1;manual
26inch-grouped-0;brouette;15.04.2019;17:15:46;26inch;grouped;0;propagated
27-5inch-grouped-0;brouette;15.04.2019;17:15:46;27-5inch;grouped;0;propagated
29inch-grouped-0;brouette;15.04.2019;17:15:46;29inch;grouped;0;propagated
20inch-grouped-0;brouette;15.04.2019;17:15:46;20inch;grouped;0;propagated
15inch-grouped-0;brouette;15.04.2019;17:15:46;15inch;grouped;0;propagated
Light-optional-0;brouette;15.04.2019;17:15:47;Light;optional;0;manual
LedBlue-grouped-0;brouette;15.04.2019;17:15:47;LedBlue;grouped;0;propagated
LedYellow-grouped-0;brouette;15.04.2019;17:15:47;LedYellow;grouped;0;propagated
WheelsKind-optional-1;brouette;15.04.2019;17:15:50;WheelsKind;optional;1;propagated
AllYear-grouped-0;brouette;15.04.2019;17:15:50;AllYear;grouped;0;propagated
Summer-grouped-1;brouette;15.04.2019;17:15:50;Summer;grouped;1;manual
Winter-grouped-0;brouette;15.04.2019;17:15:50;Winter;grouped;0;propagated
Application-optional-1;brouette;15.04.2019;17:15:52;Application;optional;1;propagated
GoogleMaps-optional-1;brouette;15.04.2019;17:15:52;GoogleMaps;optional;1;manual
Navigator-optional-0;brouette;15.04.2019;17:15:54;Navigator;optional;0;manual
Guider-optional-0;brouette;15.04.2019;17:15:54;Guider;optional;0;manual
Music-optional-0;brouette;15.04.2019;17:15:55;Music;optional;0;manual
EnergySource-optional-0;brouette;15.04.2019;17:16:00;EnergySource;optional;0;manual
SolarPanel-grouped-0;brouette;15.04.2019;17:16:00;SolarPanel;grouped;0;propagated
Dynamo-grouped-0;brouette;15.04.2019;17:16:00;Dynamo;grouped;0;propagated
Battery-grouped-0;brouette;15.04.2019;17:16:00;Battery;grouped;0;propagated
CompUnit-optional-0;brouette;15.04.2019;17:16:00;CompUnit;optional;0;propagated
GPS-grouped-0;brouette;15.04.2019;17:16:00;GPS;grouped;0;propagated
Tablet-grouped-0;brouette;15.04.2019;17:16:00;Tablet;grouped;0;propagated
Basket-optional-1;brouette;15.04.2019;17:16:02;Basket;optional;1;propagated
Wooden-grouped-1;brouette;15.04.2019;17:16:02;Wooden;grouped;1;manual
SteelWires-grouped-0;brouette;15.04.2019;17:16:02;SteelWires;grouped;0;propagated
FootPedal-grouped-0;brouette;15.04.2019;17:16:04;FootPedal;grouped;0;manual
Engine-grouped-1;brouette;15.04.2019;17:16:04;Engine;grouped;1;propagated
Triathlon-grouped-1;brouette;15.04.2019;17:16:10;Triathlon;grouped;1;manual
StepThrough-grouped-0;brouette;15.04.2019;17:16:10;StepThrough;grouped;0;propagated
Diamond-grouped-0;brouette;15.04.2019;17:16:10;Diamond;grouped;0;propagated
2years-grouped-1;brouette;15.04.2019;17:16:13;2years;grouped;1;manual
3years-grouped-0;brouette;15.04.2019;17:16:13;3years;grouped;0;propagated
LifeTime-grouped-0;brouette;15.04.2019;17:16:13;LifeTime;grouped;0;propagated
XLarge-grouped-0;brouette;15.04.2019;17:16:16;XLarge;grouped;0;propagated
Large-grouped-1;brouette;15.04.2019;17:16:16;Large;grouped;1;manual
Medium-grouped-0;brouette;15.04.2019;17:16:16;Medium;grouped;0;propagated
Small-grouped-0;brouette;15.04.2019;17:16:16;Small;grouped;0;propagated
Iron-grouped-0;brouette;15.04.2019;17:16:17;Iron;grouped;0;propagated
Alu-grouped-1;brouette;15.04.2019;17:16:17;Alu;grouped;1;manual
Carbon-grouped-0;brouette;15.04.2019;17:16:17;Carbon;grouped;0;propagated
CarbonPost-grouped-0;brouette;15.04.2019;17:16:17;CarbonPost;grouped;0;propagated
IronPost-grouped-1;brouette;15.04.2019;17:16:17;IronPost;grouped;1;propagated
Red-grouped-1;brouette;15.04.2019;17:16:20;Red;grouped;1;manual
Blue-grouped-0;brouette;15.04.2019;17:16:20;Blue;grouped;0;manual
White-grouped-0;brouette;15.04.2019;17:16:21;White;grouped;0;manual
Plastic-grouped-0;brouette;15.04.2019;17:16:23;Plastic;grouped;0;propagated
Gel-grouped-1;brouette;15.04.2019;17:16:23;Gel;grouped;1;manual
Suspension-grouped-1;brouette;15.04.2019;17:16:25;Suspension;grouped;1;manual
Static-grouped-0;brouette;15.04.2019;17:16:25;Static;grouped;0;propagated
Drop-grouped-0;brouette;15.04.2019;17:16:26;Drop;grouped;0;propagated
Riser-grouped-1;brouette;15.04.2019;17:16:26;Riser;grouped;1;manual
Pursuit-grouped-0;brouette;15.04.2019;17:16:26;Pursuit;grouped;0;propagated
TheftPreventions-optional-0;brouette;15.04.2019;17:16:28;TheftPreventions;optional;0;manual
AmovibleSeat-grouped-0;brouette;15.04.2019;17:16:28;AmovibleSeat;grouped;0;propagated
Lock-grouped-0;brouette;15.04.2019;17:16:28;Lock;grouped;0;propagated
AlarmSystem-grouped-0;brouette;15.04.2019;17:16:28;AlarmSystem;grouped;0;propagated
GeolocalisationSystem-grouped-0;brouette;15.04.2019;17:16:28;GeolocalisationSystem;grouped;0;propagated
Accessories-optional-0;brouette;15.04.2019;17:16:29;Accessories;optional;0;manual
Mudguards-grouped-0;brouette;15.04.2019;17:16:29;Mudguards;grouped;0;propagated
AirPump-grouped-0;brouette;15.04.2019;17:16:29;AirPump;grouped;0;propagated
KaskRoad-grouped-0;brouette;15.04.2019;17:16:29;KaskRoad;grouped;0;propagated
BikeCovers-grouped-0;brouette;15.04.2019;17:16:29;BikeCovers;grouped;0;propagated
WaterBottles-grouped-0;brouette;15.04.2019;17:16:29;WaterBottles;grouped;0;propagated
SmallPannier-grouped-0;brouette;15.04.2019;17:16:29;SmallPannier;grouped;0;propagated
BigPannier-grouped-0;brouette;15.04.2019;17:16:29;BigPannier;grouped;0;propagated
